,customer_id,count_x,vendor_x,vendor_y,count_y,Pop_v
0,000THBA,1,148,148,1,148
1,002510Y,1,157,157,1,157
2,005ECL6,2,"237, 237",237,1,237
3,0075AM7,1,145,145,1,145
4,009UFS1,4,"193, 83, 304, 84","193, 83, 304, 84",4,"193,83,304,84"
5,00F8I3F,1,271,271,1,271
6,00FQ1U9,1,356,356,1,356
7,00GV4J4,3,"189, 259, 843","189, 259, 843",3,"189,259,843"
8,00HRRAK,6,"79, 298, 113, 298, 298, 298","79, 298, 113",3,298
9,00HWUU3,6,"85, 145, 459, 299, 583, 90","85, 145, 459, 299, 583, 90",6,"85,145,459,299,583,90"
10,00M7NA5,2,"161, 573","161, 573",2,"161,573"
11,00NAL8D,7,"189, 843, 583, 583, 84, 583, 583","189, 843, 583, 84",4,583
12,00OT8JX,52,"104, 176, 4, 92, 4, 4, 4, 4, 159, 192, 4, 4, 274, 4, 192, 159, 159, 159, 159, 4, 159, 4, 4, 159, 159, 92, 4, 110, 4, 4, 4, 4, 75, 271, 298, 104, 578, 4, 188, 159, 288, 858, 841, 4, 159, 4, 4, 4, 4, 391, 4, 298","104, 176, 4, 92, 159, 192, 274, 110, 75, 271, 298, 578, 188, 288, 858, 841, 391",17,4
13,00QC44G,1,845,845,1,845
14,00QIIMH,2,"221, 216","221, 216",2,"221,216"
15,00R9C57,1,243,243,1,243
16,00S9BTQ,2,"398, 849","398, 849",2,"398,849"
17,00U89UY,2,"79, 79",79,1,79
18,00VBYA9,1,105,105,1,105
19,00Z2BPR,2,"106, 33","106, 33",2,"106,33"
20,00Z403U,1,44,44,1,44
21,010DVV3,3,"84, 356, 84","84, 356",2,84
22,017J1M0,1,578,578,1,578
23,018GT0H,4,"106, 106, 33, 33","106, 33",2,"106,33"
24,0198LZL,2,"845, 845",845,1,845
25,019ILOE,4,"148, 81, 105, 300","148, 81, 105, 300",4,"148,81,105,300"
26,01BY7WQ,9,"193, 105, 577, 145, 145, 207, 145, 356, 356","193, 105, 577, 145, 207, 356",6,145
27,01DDBP3,1,221,221,1,221
28,01DSQ03,1,43,43,1,43
29,01E7ZHU,1,79,79,1,79
30,01HG648,12,"105, 84, 419, 84, 537, 537, 537, 537, 537, 419, 537, 84","105, 84, 419, 537",4,537
31,01JF6J2,1,78,78,1,78
32,01KX5Q8,2,"191, 547","191, 547",2,"191,547"
